Year,Cloud cover,potential evapo-transpiration,Precipitation rate,Minimum 2m temperature,Mean 2m temperature,Maximum 2m temperature,Vapour pressure,Frost days,Wet days,cld_MAM,cld_JJA,cld_SON,cld_DJF,dtr_MAM,dtr_JJA,dtr_SON,dtr_DJF,frs_MAM,frs_JJA,frs_SON,frs_DJF,pet_MAM,pet_JJA,pet_SON,pet_DJF,pre_MAM,pre_JJA,pre_SON,pre_DJF,tmn_MAM,tmn_JJA,tmn_SON,tmn_DJF,tmp_MAM,tmp_JJA,tmp_SON,tmp_DJF,tmx_MAM,tmx_JJA,tmx_SON,tmx_DJF,vap_MAM,vap_JJA,vap_SON,vap_DJF,wet_MAM,wet_JJA,wet_SON,wet_DJF,wind_speed_10m_max
1983.0,71.73333333333333,1.7666666666666666,66.33333333333333,6.291666666666667,10.041666666666666,13.783333333333331,10.45,75.5,192.1,80.8,56.1,72.7,78.0,7.4,10.1,7.3,4.9,20.1,0.0,12.1,46.8,1.6,3.6,1.2,0.6,271.1,91.8,241.0,242.0,4.7,12.8,6.7,0.7,8.3,17.8,10.4,3.2,12.1,22.9,14.0,5.7,9.1,15.3,10.7,6.5,59.3,26.7,51.5,59.4,22.783325
1984.0,74.08333333333333,1.575,69.49166666666666,5.75,9.241666666666667,12.775,10.058333333333334,81.3,195.1,68.2,69.4,79.0,77.6,8.2,8.6,6.4,5.6,30.0,0.1,6.3,62.2,1.9,2.8,1.0,0.4,154.7,144.9,305.8,121.9,3.2,11.2,7.6,-2.6,7.3,15.5,10.8,0.2,11.4,19.8,14.1,3.0,8.0,14.0,11.5,5.6,41.5,36.4,60.7,41.5,21.047876
1985.0,74.52499999999999,1.5166666666666666,64.25833333333334,4.816666666666666,8.408333333333333,12.016666666666666,9.875,100.2,191.6,76.8,70.5,73.1,77.2,7.6,8.6,7.1,5.0,23.0,0.2,19.4,51.0,1.7,2.8,1.1,0.6,161.0,297.8,157.7,182.7,4.5,11.1,5.6,-1.0,8.3,15.4,9.1,1.5,12.1,19.7,12.7,4.0,9.3,14.0,10.2,6.0,47.4,52.8,44.4,52.4,21.302647
1986.0,72.55,1.6916666666666669,65.65833333333333,5.016666666666667,8.808333333333334,12.633333333333333,9.658333333333331,92.6,196.0,73.0,67.2,73.6,82.0,8.3,9.4,7.5,5.2,29.3,0.0,8.5,56.9,1.8,3.2,1.2,0.5,167.9,189.7,216.7,188.3,3.6,11.4,6.6,-1.4,7.7,16.1,10.3,1.2,11.9,20.8,14.1,3.9,8.5,13.8,10.6,6.0,49.5,41.5,50.7,51.8,22.760746
1987.0,78.30833333333334,1.4666666666666668,70.34166666666667,5.058333333333334,8.516666666666667,12.0,9.941666666666666,96.4,207.1,72.3,78.0,79.2,84.9,8.3,8.0,6.6,4.8,31.9,0.1,7.7,32.2,1.7,2.5,1.2,0.6,176.6,287.0,255.0,255.4,2.9,11.2,7.5,2.6,7.1,15.2,10.7,5.0,11.2,19.2,14.1,7.4,8.3,14.3,11.1,7.6,48.7,60.2,55.3,62.1,20.78509
1988.0,77.60000000000001,1.616666666666667,74.48333333333333,6.658333333333334,10.133333333333336,13.633333333333333,10.541666666666666,61.0,216.3,70.9,74.9,79.0,83.3,8.4,8.2,6.6,5.0,22.3,0.0,12.0,28.4,2.1,2.7,1.0,0.6,169.0,231.4,213.5,150.7,4.7,11.7,6.8,3.1,8.9,15.8,10.1,5.6,13.2,19.9,13.5,8.2,8.9,14.4,10.9,8.1,46.9,46.4,52.2,50.7,22.759317
1989.0,71.71666666666667,1.8666666666666665,55.56666666666666,6.675,10.625,14.641666666666666,10.558333333333334,63.400000000000006,171.8,67.6,64.4,73.2,82.8,8.9,9.9,7.5,5.5,16.7,0.0,12.8,27.5,2.3,3.3,1.3,0.7,166.2,175.4,160.8,230.0,5.3,11.8,7.2,3.3,9.7,16.7,11.0,6.0,14.2,21.7,14.8,8.8,9.1,14.2,11.3,8.0,41.5,37.0,48.2,54.4,21.053844
1990.0,72.43333333333334,1.9083333333333332,62.375,6.833333333333333,10.691666666666668,14.625,10.425,53.6,187.4,59.8,65.8,80.0,79.8,9.6,9.6,6.8,5.1,16.0,0.0,9.2,49.2,2.4,3.3,1.2,0.6,111.3,177.6,246.8,146.8,5.4,11.8,7.0,-0.0,10.1,16.6,10.3,2.5,15.0,21.4,13.8,5.1,9.2,14.1,10.7,6.3,37.1,37.6,58.3,45.2,22.94291
1991.0,73.35,1.7083333333333333,53.60833333333333,5.666666666666667,9.458333333333334,13.275,10.016666666666667,84.5,161.8,73.4,67.4,74.6,81.4,8.5,8.9,7.5,5.3,20.6,0.3,12.6,41.6,1.9,3.1,1.3,0.6,97.9,192.9,219.5,125.6,4.3,11.9,6.7,1.4,8.6,16.4,10.4,4.1,12.9,20.9,14.2,6.7,8.8,14.5,10.5,7.1,31.0,39.0,51.1,41.1,21.112219
1992.0,73.99166666666666,1.8166666666666669,67.29166666666667,6.708333333333333,10.4,14.166666666666666,10.541666666666666,69.5,196.1,68.7,67.2,77.9,83.7,8.6,9.3,7.0,4.9,16.6,0.0,12.8,42.4,2.3,3.3,1.1,0.5,188.6,228.2,266.7,163.6,5.7,13.1,6.4,1.2,9.9,17.7,9.8,3.6,14.2,22.4,13.4,6.1,9.4,15.2,10.5,7.1,48.0,45.9,58.5,48.4,22.24134
