 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1964    21.2    26.6    41.5    50.0    39.4    76.0    51.5    74.2    65.4    97.3    56.8    83.5   130.8   201.7   219.5   194.5   683.3
 1965    88.7    22.3    48.0    78.7    78.8    73.9   140.9    75.6    76.6    23.4    80.8   164.4   205.6   290.4   180.8   289.6   952.2
 1966    48.6    76.7    60.2    72.7    39.5   104.6   114.8    77.6    47.5    79.9   108.6   157.2   172.4   297.0   236.1   269.4   987.9
 1967    51.9    60.3    54.3    49.3    72.1    32.9    40.2    72.4    77.0   116.4    87.1   101.2   175.7   145.5   280.4   208.4   815.0
 1968    73.3    33.9    42.2    28.5    72.9    79.9    97.6    96.5   134.8    81.8    47.6    40.4   143.6   274.1   264.2   145.4   829.5
 1969    47.0    58.1    54.0    61.2    79.0    55.1    53.7   135.7    14.8    24.7   102.7    41.9   194.2   244.5   142.2   178.7   727.9
 1970    44.4    92.4    60.4    82.9    27.4    30.7   113.7    46.3    84.1    91.4    91.8    47.5   170.7   190.6   267.3   144.5   812.9
 1971    61.3    35.7    37.4    21.0    51.7    90.2    36.4    64.4    29.2    38.4    84.7    29.0   110.2   190.9   152.3    89.3   579.4
 1972    31.6    28.7    42.6    56.6    83.3    68.1    88.4    71.2    49.0    25.9    91.3    23.7   182.5   227.8   166.2   119.9   660.5
 1973    28.6    67.6    20.1    63.6    65.7    30.4    88.4    38.8    78.0    84.9    80.3    71.7   149.4   157.7   243.1   178.3   718.1
 1974    64.3    42.3    48.7    11.4    36.3    61.7    81.9    62.3   127.7   143.3   107.5   108.0    96.4   205.8   378.5   220.9   895.2
 1975    93.1    19.8    72.0    57.7    35.5    51.5    58.9    38.5    85.5    24.2    97.3    43.1   165.1   149.0   207.0   164.7   677.0
 1976    94.9    26.8    25.3     8.2    35.7    27.4    44.2    23.9    70.9    49.6    73.0    69.7    69.2    95.4   193.4   219.6   549.4
 1977    73.4    76.5    44.8    64.6    46.3    50.5    50.7    78.5    24.0    48.8   136.2    51.7   155.7   179.7   209.0   148.6   746.0
 1978    68.5    28.5    79.6    28.3    33.4    72.4    69.0    52.5    87.7    27.8    39.8    98.4   141.3   194.0   155.3   201.8   685.9
 1979    56.6    46.8    96.2    63.4    90.3    72.8    48.2    68.9    34.0    46.0    98.6   135.5   249.9   189.9   178.6   240.0   857.2
 1980    52.7    51.8    64.4    37.2    19.6    94.1   144.3    80.3    38.5    89.7    81.8    89.6   121.2   318.7   209.9   222.6   843.9
 1981    97.0    36.0   125.5    24.1    71.7    68.9    66.8    42.7    61.3   146.4    82.3    74.4   221.2   178.5   289.9   154.2   897.0
 1982    61.3    18.5    59.1    30.9    47.4    97.6    28.4    77.6    41.2   113.7    68.2    79.5   137.5   203.6   223.1   211.8   723.5
