 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1963    -7.9    -6.6     0.2     3.8     6.6    10.6    11.9    11.5     9.9     5.8     5.8    -2.8     3.6    11.3     7.2    -1.5     4.1
 1964    -1.8     0.1    -0.7     4.2     8.3    10.4    12.0    11.4     9.5     4.6     4.0     0.7     3.9    11.2     6.0     0.3     5.2
 1965     1.0    -0.8     0.3     3.0     7.0    10.2    10.9    10.6     8.9     5.6     0.0     2.5     3.4    10.6     4.9     0.6     4.9
 1966    -2.2     1.3     1.9     4.1     7.8    11.7    11.4    11.2     9.6     8.4     2.0     2.1     4.6    11.4     6.7     1.7     5.8
 1967     1.1     2.0     3.5     2.5     7.4     9.7    13.0    12.1    10.5     8.6     2.6     1.3     4.5    11.6     7.2    -0.0     6.2
 1968    -0.8    -0.5     2.3     3.8     6.3    10.6    11.6    12.8    10.8     8.5     3.2    -1.7     4.1    11.7     7.5    -0.9     5.6
 1969     1.6    -2.5    -1.0     2.6     7.9    10.3    13.5    13.0    10.3     8.0     3.9    -3.3     3.2    12.2     7.4    -2.4     5.4
 1970    -2.0    -1.9    -0.2     2.2     7.5    11.6    11.5    12.1     9.9     7.4     4.8     1.0     3.2    11.8     7.3     0.6     5.3
 1971    -0.4     1.2    -0.4     3.5     8.4     9.6    12.6    13.0     8.8     6.4     2.9     3.9     3.8    11.7     6.1     1.0     5.8
 1972    -1.8     0.9     1.9     3.8     7.2     9.2    13.2    11.4     7.7     4.6     3.7     1.6     4.3    11.3     5.3     1.0     5.3
 1973     0.8     0.6     1.7     1.9     7.3    10.5    12.9    12.3    10.4     5.2     2.4     0.9     3.7    11.9     6.0     2.0     5.6
 1974     3.1     2.1     2.6     3.7     6.5     9.4    11.1    11.9     9.4     4.2     4.1     5.3     4.3    10.8     5.9     3.1     6.1
 1975     4.3    -0.2     1.9     3.1     6.5     9.6    13.0    13.9    11.0     5.4     2.6     2.1     3.9    12.2     6.3     1.1     6.1
 1976     1.4    -0.3    -0.6     2.3     7.5    11.5    13.8    11.9     9.8     7.7     4.4    -0.5     3.1    12.4     7.3     0.6     5.7
 1977     0.5     1.9     3.6     2.1     6.8    10.2    12.1    11.9     8.8     7.8     4.4     2.8     4.1    11.4     7.0     0.6     6.1
 1978     1.0    -1.9     3.0     2.6     7.5    10.1    11.1    11.2     9.5     7.5     3.9    -0.1     4.4    10.8     7.0    -2.8     5.4
 1979    -5.1    -3.3     1.4     3.2     6.9    10.7    11.3    11.2     9.2     6.7     2.9     3.9     3.8    11.0     6.2     1.0     4.9
 1980    -2.3     1.4     1.5     2.9     6.0    10.0    11.6    12.4    10.7     5.7     2.5     1.3     3.5    11.3     6.3     0.0     5.3
 1981    -0.3    -1.0     4.7     3.7     8.3    10.4    12.2    12.2    10.3     5.7     3.8    -2.4     5.6    11.6     6.6    -1.8     5.6
 1982    -2.4    -0.5     1.7     2.6     7.3    11.6    13.9    12.9    11.1     7.9     5.4     1.8     3.9    12.8     8.1     1.1     6.1
 1983     3.7    -2.1     2.4     4.3     7.3    10.9    14.3    13.1    10.3     7.0     2.9     1.4     4.7    12.8     6.7     0.7     6.3
 1984     1.2    -0.4     0.5     2.5     6.7     9.3    11.5    12.7     9.8     8.1     5.0     2.1     3.2    11.2     7.6    -2.6     5.8
 1985    -5.8    -4.0     1.0     4.0     8.5     9.2    12.5    11.6     9.9     6.8     0.1     4.0     4.5    11.1     5.6    -1.0     4.8
 1986    -0.0    -6.9     0.5     2.2     8.1    10.7    12.2    11.3     7.3     7.3     5.1     2.4     3.6    11.4     6.6    -1.4     5.0
 1987    -5.6    -1.0    -1.7     5.0     5.5     9.4    12.3    11.9    10.5     7.1     4.8     2.5     2.9    11.2     7.5     2.6     5.1
 1988     3.6     1.8     1.8     3.3     9.1    10.8    12.2    12.0    10.3     7.5     2.7     4.8     4.7    11.7     6.8     3.1     6.7
 1989     2.4     2.2     4.3     3.3     8.2    10.3    13.0    12.2    11.2     8.6     2.0     2.4     5.3    11.8     7.2     3.3     6.7
 1990     3.2     4.2     4.5     3.4     8.1    10.7    11.7    13.2     9.0     8.1     3.8     2.1     5.4    11.8     7.0    -0.0     6.8
 1991     1.3    -3.5     4.4     3.2     5.4     8.9    14.1    12.8    10.6     6.4     3.0     1.4     4.3    11.9     6.7     1.4     5.7
 1992     0.9     2.0     3.3     4.1     9.6    12.2    13.6    13.6    10.1     4.4     4.7     2.0     5.7    13.1     6.4     1.2     6.7
 1993     1.7    -0.1     1.5     6.1     9.2    10.7    11.8    10.9     9.4     6.0    -0.0     3.1     5.6    11.1     5.1     1.5     5.8
 1994     2.8    -1.5     3.8     4.1     8.0    10.5    15.4    13.2    10.1     5.4     6.8     3.4     5.3    13.0     7.4     2.6     6.8
